review_id,aspect,sentiment_label,sentiment_score
0,view,neutral,0.926652
1,thanks,positive,0.99493766
1,option,positive,0.9956573
1,technology,positive,0.9978383
1,experience,positive,0.98706436
2,hightech,positive,0.9927226
2,hotel,positive,0.9976292
2,service,positive,0.99778277
4,experience,positive,0.99460334
5,view,positive,0.9984964
7,room,positive,0.99413896
7,waterfall,positive,0.99649507
7,dinner,positive,0.98334044
7,breakfast,positive,0.99489164
8,attraction,positive,0.9270565
8,forest,positive,0.87909746
8,waterfall,positive,0.9145299
8,experience,positive,0.963741
8,mat,positive,0.97079986
8,taxi,positive,0.9490699
8,location,positive,0.97100216
8,area,positive,0.95667493
8,staff,positive,0.94694567
8,vibe,positive,0.9644765
8,road,positive,0.5582119
9,nature,positive,0.9982784
9,place,positive,0.9970022
10,atmosphere,positive,0.9987431
10,staff,positive,0.99838865
11,staycation,positive,0.99443394
11,menu,positive,0.9984012
11,breakfast,positive,0.99813783
12,staff,positive,0.99795157
13,receptionist,positive,0.9965341
13,place,positive,0.9985227
14,place,positive,0.99845314
16,air,positive,0.99859804
16,location,positive,0.9981664
16,place,positive,0.99810493
18,location,positive,0.9774954
18,cabin,positive,0.71865064
27,experience,positive,0.9984536
29,service,positive,0.9983329
31,waterfall,positive,0.99001175
31,area,positive,0.91898227
31,room,positive,0.99015546
31,garden,positive,0.7383813
31,option,positive,0.9190486
31,place,positive,0.9553322
32,cleanliness,positive,0.99844354
32,area,positive,0.99729663
32,facility,positive,0.9982576
32,service,positive,0.9981193
32,place,positive,0.99798846
32,stay,positive,0.99814737
33,view,positive,0.99842274
33,oxygen,positive,0.7579917
34,waterfall,positive,0.7899026
34,cabin,positive,0.9919533
34,tranquility,positive,0.98747325
34,tree,positive,0.9512348
34,area,positive,0.9157058
34,spot,positive,0.98872954
34,garden,positive,0.9448415
35,room,negative,0.58675194
35,position,negative,0.9260641
35,net,negative,0.8911626
36,cabin,positive,0.79454803
37,balance,positive,0.95431584
37,view,positive,0.9927866
38,time,positive,0.9879431
38,healing,positive,0.990638
38,cabin,positive,0.9882464
40,forest,positive,0.842468
40,cabin,positive,0.7971069
40,experience,positive,0.9231318
40,toodler,positive,0.85207427
40,calm,positive,0.85686874
40,effect,positive,0.8519829
40,vibe,positive,0.917377
40,road,positive,0.8725781
41,waterfall,negative,0.79596466
41,bed,negative,0.9183257
41,toilet,negative,0.7845607
41,access,negative,0.9419469
41,breakfast,negative,0.7995033
41,service,negative,0.77389675
41,child,negative,0.94308764
41,price,negative,0.9224315
41,stair,negative,0.95965916
41,counter,negative,0.929191
43,room,positive,0.9941121
43,forest,positive,0.9089061
43,place,positive,0.99703026
44,place,positive,0.99770075
45,atmosphere,positive,0.989571
45,location,positive,0.93408185
45,entrance,positive,0.84504074
45,sound,positive,0.99334323
45,garden,positive,0.90588963
45,service,positive,0.99112344
46,parking,positive,0.988667
46,staff,positive,0.98593616
46,breathtaking,positive,0.987678
46,judge,positive,0.9686327
46,place,positive,0.9857401
46,wilderness,positive,0.99206936
47,accommodation,neutral,0.9748591
47,place,neutral,0.972912
47,experience,neutral,0.5858419
49,place,positive,0.99727976
51,forest,positive,0.91148365
51,deluxe,positive,0.9607807
51,waterfall,positive,0.97791106
51,lobby,negative,0.56743586
51,bobocabin,positive,0.81663126
51,room,positive,0.9685264
51,vibe,positive,0.9590986
51,child,positive,0.9127169
51,place,positive,0.9571903
51,road,positive,0.6935091
52,option,neutral,0.78491414
53,tie,positive,0.5353769
53,place,positive,0.9972658
54,chat,negative,0.9856836
54,air,negative,0.9637788
54,people,negative,0.9775933
54,experience,negative,0.973033
54,harus,negative,0.9664537
54,attention,negative,0.98245186
54,host,negative,0.986876
54,staff,negative,0.9824692
54,ambience,negative,0.65161514
54,indomie,negative,0.9811865
54,equipment,negative,0.9751242
55,concept,positive,0.9986822
57,improvement,positive,0.8218469
57,input,negative,0.8180538
57,signal,positive,0.56540745
58,rice,positive,0.9834124
58,review,positive,0.9613667
58,water,positive,0.99432486
58,access,positive,0.9973954
58,breakfast,positive,0.99094045
59,room,positive,0.98792434
60,service,negative,0.98832476
61,service,negative,0.9953134
62,air,positive,0.93102604
62,atmosphere,positive,0.99747026
62,rate,positive,0.98116726
62,amenity,positive,0.9963224
62,property,positive,0.9868435
62,access,positive,0.9967218
62,service,positive,0.9081953
62,place,positive,0.99738234
63,trunk,negative,0.9625656
63,area,negative,0.6035834
63,tree,negative,0.9737301
63,path,negative,0.8982996
63,room,positive,0.9821691
63,facility,positive,0.9930621
63,food,positive,0.9613675
67,place,positive,0.9919057
67,hotel,positive,0.99425817
68,atmosphere,positive,0.9869177
68,forest,positive,0.9896293
68,charcoal,positive,0.68387985
68,music,positive,0.9918216
68,location,positive,0.9567597
68,room,positive,0.9919533
68,water,positive,0.9756506
68,night,positive,0.9827876
70,experience,positive,0.99702877
72,waterfall,positive,0.9893512
72,place,positive,0.992938
73,child,positive,0.9875238
73,stair,positive,0.94692856
73,experience,positive,0.9969728
75,activity,positive,0.97585243
75,experience,positive,0.99653107
76,road,neutral,0.9839028
76,direction,neutral,0.98661417
76,suggestion,neutral,0.98552877
76,ecotourism,neutral,0.9921389
77,food,positive,0.98873633
77,waterfall,positive,0.9870837
77,forest,positive,0.98730963
77,rice,positive,0.9828395
77,view,positive,0.9892819
77,chicken,positive,0.9820135
77,bobocabin,positive,0.9855232
77,staff,positive,0.98769426
77,garden,positive,0.9820265
77,stair,positive,0.98651195
77,place,positive,0.988162
77,school,positive,0.9867634
77,eye,positive,0.98695093
78,waterfall,positive,0.9956524
78,scenery,positive,0.96711224
78,night,negative,0.58968693
79,road,negative,0.99602497
79,view,positive,0.9531508
80,atmosphere,positive,0.9965599
82,place,positive,0.99765116
84,flow,negative,0.74962497
84,suggestion,negative,0.69726336
84,weather,negative,0.94827676
84,room,negative,0.8499886
84,sheet,negative,0.89105165
85,poll,positive,0.99273854
88,room,positive,0.6162821
88,jungle,positive,0.97291595
88,touch,positive,0.9972837
89,place,positive,0.99838877
