nama,bintang,komentar,Waktu,Place name,clean_text
Satria Sihombing,5.0,view nya menyala 🤩🔥🔥,an hour,Bobocabin Baturraden Purwokerto,view nya menyala 🤩🔥🔥
silas nainggolan,5.0,"Penginapan yang paling menyatu dengan alam. Cabin nya canggih, pakai teknologi terkini. Pilihan menu makanan juga banyak. Pokoknya the best lah Bobocabin Baturraden 🤗 Thanks for new experience 😉🙏",an hour,Bobocabin Baturraden Purwokerto,"penginapan yang paling menyatu dengan alam. cabin nya canggih, pakai teknologi terkini. pilihan menu makanan juga banyak. pokoknya the best lah bobocabin baturraden 🤗 thanks for new experience 😉🙏"
Ari Setiawan,5.0,"Bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah",2 hours,Bobocabin Baturraden Purwokerto,"bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah"
mutiara saragih,5.0,good,2 hours,Bobocabin Baturraden Purwokerto,good
hendro sebayang,5.0,So an exciting stay experience,2 hours,Bobocabin Baturraden Purwokerto,so an exciting stay experience
Togap simanungkalit,5.0,"Sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran.",2 hours,Bobocabin Baturraden Purwokerto,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran."
Tusinah dirsan,5.0,Enak buat acara keluarga,a day,Bobocabin Baturraden Purwokerto,enak buat acara keluarga
Tika Asgusta,5.0,"Kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali
Ga lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya",3 days,Bobocabin Baturraden Purwokerto,"kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali enggak lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya"
Lutfi Dinayanti,5.0,"Forest is for rest. Kesini di akhir Juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. Curugnya juga deket, jalannya agak curam tapi oke aja. Bisa bbq juga karena ada pilihan paket mealnya.

Karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat minta keset  tambahan.

Hitech, peaceful, sekitarannya juga deket sama tempat wisata lain. Dan kmrn banyak bgt dibantu sm staffnya mas oki kalo ga salah namanya, thankyouuuu!

Great experience!",5 days,Bobocabin Baturraden Purwokerto,"forest is for rest. kesini di akhir juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. curugnya juga dekat, jalannya agak curam tapi oke saja. bisa bbq juga karena ada pilihan paket mealnya.  karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat meminta keset  tambahan.  hitech, peaceful, sekitarannya juga dekat sama tempat wisata lain. dan kemarin banyak banget dibantu sama staffnya mas oki kalo enggak salah namanya, thankyou!  great experience!"
Safril Wijanarko,5.0,"Tempat yg sangat sejuk dibawah kaki gunung slamet dan menyajikan alam yg indah👍
Bagi yg ingin honeymoon cocok sekali👌",6 days,Bobocabin Baturraden Purwokerto,tempat yang sangat sejuk dibawah kaki gunung selamat dan menyajikan alam yang indah👍 bagi yang ingin honeymoon cocok sekali👌
Rendi Mardianto,5.0,"Staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. Ada curug yang sangat beautyfull pokoknya mantap sekali",6 days,Bobocabin Baturraden Purwokerto,"staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. ada curug yang sangat beautyfull pokoknya mantap sekali"
Yellow Peony,5.0,"Staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya jg enaaak,,klo malem laper jg bisa pesen makanan,pas coba menunya enaak👌recomended
Next bakalan kesini lagi sih..😁",6 days,Bobocabin Baturraden Purwokerto,"staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya juga enak,,kalo malam laper juga bisa pesan makanan,pas coba menunya enaak👌recomended next bakalan kesini lagi sih..😁"
sarah hanifah,5.0,"Ga nyesel deh kesiniii
Rekomended banget buat liburan
Apalagi staff nya juga ramah ramah",6 days,Bobocabin Baturraden Purwokerto,enggak menyesal deh kesini rekomended banget buat liburan apalagi staff nya juga ramah ramah
Vebs Jack,5.0,"Tempat adem, nyaman, resepsionisnya ramah-ramah",6 days,Bobocabin Baturraden Purwokerto,"tempat adem, nyaman, resepsionisnya ramah-ramah"
desi ratnasari,5.0,bagus tempatnya nyaman dan cocok untuk staycation,6 days,Bobocabin Baturraden Purwokerto,bagus tempatnya nyaman dan cocok untuk staycation
Nia Margiasih,5.0,Bagusss,6 days,Bobocabin Baturraden Purwokerto,bagus
banana nanae,5.0,"Bagus, lokasi mudah tempat nyaman udara sangat sejuk",6 days,Bobocabin Baturraden Purwokerto,"bagus, lokasi mudah tempat nyaman udara sangat sejuk"
Fiorentina Devina,5.0,enak buat nginep bareng temen dan keluarga.,6 days,Bobocabin Baturraden Purwokerto,enak buat nginep bareng teman dan keluarga.
Suparman S,5.0,"Lokasi d dlm hutan,cabinya cocok yg mau liburan",6 days,Bobocabin Baturraden Purwokerto,"lokasi di dalam hutan,cabinya cocok yang mau liburan"
Arya Fadila,5.0,bagus bgt,a week,Bobocabin Baturraden Purwokerto,bagus banget
Oki seti Setia sejati,5.0,Asri,a week,Bobocabin Baturraden Purwokerto,asri
Oki Seti Setia Sejati,5.0,Bagus dan bersih,a week,Bobocabin Baturraden Purwokerto,bagus dan bersih
eka santoso,5.0,good,a week,Bobocabin Baturraden Purwokerto,good
deva maulana,5.0,Good,a week,Bobocabin Baturraden Purwokerto,good
Cepat Lakuuu,5.0,Good,a week,Bobocabin Baturraden Purwokerto,good
Wiby Abhista,5.0,Good,a week,Bobocabin Baturraden Purwokerto,good
Annalia Ernawati,5.0,Good,a week,Bobocabin Baturraden Purwokerto,good
michael eric,5.0,Pengalaman yang luar biasa✌️,a week,Bobocabin Baturraden Purwokerto,pengalaman yang luar biasa✌️
Rima Krismeilita22,5.0,Semuanya indahhhh,a week,Bobocabin Baturraden Purwokerto,semuanya indah
Nisa Aulia,5.0,Mantapp pelayanan dan cabinnya,a week,Bobocabin Baturraden Purwokerto,mantap pelayanan dan cabinnya
Shinta Maharani,5.0,Bagus dan nyaman untuk perjalanan healing bersama pasangan🫰,a week,Bobocabin Baturraden Purwokerto,bagus dan nyaman untuk perjalanan healing bersama pasangan🫰
Slamet Nugroho,5.0,"kamarnya super nyaman, tempat sejuk cocok banget buat yang pengin liburan sama keluarga,teman, apa sama pasangan, dan tempatnya berada di area kebun Raya Baturraden dekat dengan wisata seperti pancuran 7 dan di didalem area bobocabin ada curug yang bagus banget tempatnya enak banget buat nongkrong. terus pas malem kita bisa pesen BBQ an jadi buat yang mau nginep gak usah khawatir karna banyak pilihan menu BBQ nya😍",a week,Bobocabin Baturraden Purwokerto,"kamarnya super nyaman, tempat sejuk cocok banget buat yang pengin liburan sama keluarga,teman, apa sama pasangan, dan tempatnya berada di area kebun raya baturraden dekat dengan wisata seperti pancuran 7 dan di didalem area bobocabin ada curug yang bagus banget tempatnya enak banget buat nongkrong. terus pas malam kita bisa pesan bbq an jadi buat yang mau nginep enggak usah khawatir karena banyak pilihan menu bbq nya😍"
