nama,bintang,komentar,Waktu,Place name,clean_text
Satria Sihombing,5.0,the view is on 🤩🔥🔥,an hour,Bobocabin Baturraden Purwokerto,view nya menyala 🤩🔥🔥
silas nainggolan,5.0,"accommodation that is most united with nature. The cabin is sophisticated, using the latest technology. There are also many food menu options. basically the best is bobocabin baturaden 🤗 thanks for new experience 😉🙏",an hour,Bobocabin Baturraden Purwokerto,"penginapan yang paling menyatu dengan alam. cabin nya canggih, pakai teknologi terkini. pilihan menu makanan juga banyak. pokoknya the best lah bobocabin baturraden 🤗 thanks for new experience 😉🙏"
Ari Setiawan,5.0,"nice, new, high-tech hotel, with very friendly service",2 hours,Bobocabin Baturraden Purwokerto,"bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah"
mutiara saragih,5.0,good,2 hours,Bobocabin Baturraden Purwokerto,good
hendro sebayang,5.0,so an exciting stay experience,2 hours,Bobocabin Baturraden Purwokerto,so an exciting stay experience
Togap simanungkalit,5.0,"very comfortable, sophisticated, natural views, clean, everything is technological, from opening the door to payment.",2 hours,Bobocabin Baturraden Purwokerto,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran."
Tusinah dirsan,5.0,good for family events,a day,Bobocabin Baturraden Purwokerto,enak buat acara keluarga
Tika Asgusta,5.0,"good room and facilities, quiet away from the crowd. the waterfall is very beautiful, don't forget the breakfast is really delicious, dinner from warlok damaran is also recommended, all delicious, must try, you can order directly to the staff to order the food",3 days,Bobocabin Baturraden Purwokerto,"kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali enggak lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya"
Lutfi Dinayanti,5.0,"forest is for rest. came here at the end of June 2024, the staff were super helpful, friendly 👍🏻👍🏻👍🏻 the location is easy to reach (take the train, then continue with an online taxi), the vibes are calm and comfortable, even though it rained yesterday but thank God it was quite bright in the morning so I could go to the waterfall. the waterfall is also close, the road is a bit steep but okay. can also have a barbecue because there is a choice of meal packages. because it was raining maybe there was 1 leech at the toilet door yesterday 😂😂 and when I finished taking a shower the water was quite muddy, maybe the drainage can be improved (?) it's just minor, and the staff are very helpful when asking for additional mats. hitech, peaceful, the area is also close to other tourist attractions. and yesterday the staff helped me a lot, if I'm not mistaken, thank you! great experience!",5 days,Bobocabin Baturraden Purwokerto,"forest is for rest. kesini di akhir juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. curugnya juga dekat, jalannya agak curam tapi oke saja. bisa bbq juga karena ada pilihan paket mealnya.  karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat meminta keset  tambahan.  hitech, peaceful, sekitarannya juga dekat sama tempat wisata lain. dan kemarin banyak banget dibantu sama staffnya mas oki kalo enggak salah namanya, thankyou!  great experience!"
Safril Wijanarko,5.0,a very cool place under the foot of the mountain safe and presents beautiful nature 👍 for those who want to honeymoon very suitable 👌,6 days,Bobocabin Baturraden Purwokerto,tempat yang sangat sejuk dibawah kaki gunung selamat dan menyajikan alam yang indah👍 bagi yang ingin honeymoon cocok sekali👌
