nama,bintang,komentar,Waktu,Place name
Satria Sihombing,5.0,view nya menyala 🤩🔥🔥,an hour,Bobocabin Baturraden Purwokerto
silas nainggolan,5.0,"Penginapan yang paling menyatu dengan alam. Cabin nya canggih, pakai teknologi terkini. Pilihan menu makanan juga banyak. Pokoknya the best lah Bobocabin Baturraden 🤗 Thanks for new experience 😉🙏",an hour,Bobocabin Baturraden Purwokerto
Ari Setiawan,5.0,"Bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah",2 hours,Bobocabin Baturraden Purwokerto
mutiara saragih,5.0,good,2 hours,Bobocabin Baturraden Purwokerto
hendro sebayang,5.0,So an exciting stay experience,2 hours,Bobocabin Baturraden Purwokerto
Togap simanungkalit,5.0,"Sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran.",2 hours,Bobocabin Baturraden Purwokerto
Tusinah dirsan,5.0,Enak buat acara keluarga,a day,Bobocabin Baturraden Purwokerto
Tika Asgusta,5.0,"Kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali
Ga lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya",3 days,Bobocabin Baturraden Purwokerto
Risma Yuliani,5.0,,4 days,Bobocabin Baturraden Purwokerto
Lutfi Dinayanti,5.0,"Forest is for rest. Kesini di akhir Juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. Curugnya juga deket, jalannya agak curam tapi oke aja. Bisa bbq juga karena ada pilihan paket mealnya.

Karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat minta keset  tambahan.

Hitech, peaceful, sekitarannya juga deket sama tempat wisata lain. Dan kmrn banyak bgt dibantu sm staffnya mas oki kalo ga salah namanya, thankyouuuu!

Great experience!",5 days,Bobocabin Baturraden Purwokerto
Safril Wijanarko,5.0,"Tempat yg sangat sejuk dibawah kaki gunung slamet dan menyajikan alam yg indah👍
Bagi yg ingin honeymoon cocok sekali👌",6 days,Bobocabin Baturraden Purwokerto
Rendi Mardianto,5.0,"Staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. Ada curug yang sangat beautyfull pokoknya mantap sekali",6 days,Bobocabin Baturraden Purwokerto
Yellow Peony,5.0,"Staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya jg enaaak,,klo malem laper jg bisa pesen makanan,pas coba menunya enaak👌recomended
Next bakalan kesini lagi sih..😁",6 days,Bobocabin Baturraden Purwokerto
Gigitgunawan07@gmail.com Gigit,5.0,,6 days,Bobocabin Baturraden Purwokerto
Lupita Sari,5.0,,6 days,Bobocabin Baturraden Purwokerto
oktaviana prastiwi,5.0,,6 days,Bobocabin Baturraden Purwokerto
sarah hanifah,5.0,"Ga nyesel deh kesiniii
Rekomended banget buat liburan
Apalagi staff nya juga ramah ramah",6 days,Bobocabin Baturraden Purwokerto
Vebs Jack,5.0,"Tempat adem, nyaman, resepsionisnya ramah-ramah",6 days,Bobocabin Baturraden Purwokerto
Aprillia Galuh AP,5.0,,6 days,Bobocabin Baturraden Purwokerto
Dewi Anggraeni,5.0,,6 days,Bobocabin Baturraden Purwokerto
desi ratnasari,5.0,bagus tempatnya nyaman dan cocok untuk staycation,6 days,Bobocabin Baturraden Purwokerto
Nia Margiasih,5.0,Bagusss,6 days,Bobocabin Baturraden Purwokerto
banana nanae,5.0,"Bagus, lokasi mudah tempat nyaman udara sangat sejuk",6 days,Bobocabin Baturraden Purwokerto
Fiorentina Devina,5.0,enak buat nginep bareng temen dan keluarga.,6 days,Bobocabin Baturraden Purwokerto
Suparman S,5.0,"Lokasi d dlm hutan,cabinya cocok yg mau liburan",6 days,Bobocabin Baturraden Purwokerto
Arya Fadila,5.0,bagus bgt,a week,Bobocabin Baturraden Purwokerto
Mochamad Lukman Aliansyah,5.0,,a week,Bobocabin Baturraden Purwokerto
Oki seti Setia sejati,5.0,Asri,a week,Bobocabin Baturraden Purwokerto
Oki Seti Setia Sejati,5.0,Bagus dan bersih,a week,Bobocabin Baturraden Purwokerto
eka santoso,5.0,good,a week,Bobocabin Baturraden Purwokerto
Zulvi Abdurahman,5.0,,a week,Bobocabin Baturraden Purwokerto
deva maulana,5.0,Good,a week,Bobocabin Baturraden Purwokerto
Cepat Lakuuu,5.0,Good,a week,Bobocabin Baturraden Purwokerto
Wiby Abhista,5.0,Good,a week,Bobocabin Baturraden Purwokerto
Kevinfirmnsyh,5.0,,a week,Bobocabin Baturraden Purwokerto
Muhamad Ismail,5.0,,a week,Bobocabin Baturraden Purwokerto
Riskie Hutama,5.0,,a week,Bobocabin Baturraden Purwokerto
April R,5.0,,a week,Bobocabin Baturraden Purwokerto
Annalia Ernawati,5.0,Good,a week,Bobocabin Baturraden Purwokerto
Dian Melawardani,5.0,,a week,Bobocabin Baturraden Purwokerto
michael eric,5.0,Pengalaman yang luar biasa✌️,a week,Bobocabin Baturraden Purwokerto
Rima Krismeilita22,5.0,Semuanya indahhhh,a week,Bobocabin Baturraden Purwokerto
Nisa Aulia,5.0,Mantapp pelayanan dan cabinnya,a week,Bobocabin Baturraden Purwokerto
astia ananda,5.0,,a week,Bobocabin Baturraden Purwokerto
Amelia Zahra,5.0,,a week,Bobocabin Baturraden Purwokerto
Shinta Maharani,5.0,Bagus dan nyaman untuk perjalanan healing bersama pasangan🫰,a week,Bobocabin Baturraden Purwokerto
Dita Ditaa,5.0,,a week,Bobocabin Baturraden Purwokerto
Cepi Muhamad Latip,5.0,,a week,Bobocabin Baturraden Purwokerto
