nama,bintang,komentar,Waktu,Place name
val,5.0,"Pemandangannya keren banget, kalau sore bisa lihat lampu-lampu kota Manado, sorenya Sunset di laut Sulawesi & Manado Lama, bisa juga dapetin Sunrise. Pelayanannya oke. Ruangannya juga canggih, terhubung dengan bluetooth jika ingin memutar musik, dan warna lampu bisa diatur sesuai keinginan. Pengalaman yang menyenangkan! Semoga beruntung~",6 hours,Bobocabin Bunaken Hills Manado
IRNI MEINA PENILA LARASATI,5.0,"Pengalaman menginap di bobocabin Bunaken Hills Manado …Pokoknya mantapp betul bobocabin ini,,the best 👍🏻👍🏻👍🏻
pelayanan yang bagus, fasilitas kamar oke  nyaman bersih, tmpatnya tenang, …",7 hours,Bobocabin Bunaken Hills Manado
Lisandro Lontoh,5.0,"Keren, pekerjanya ramah semua, apa” dibantu, lebih bagus pake aplikasinya , serasa punya asisten pribadi👍 Ada mobil yg stanby 24 jam buat dri parkiran ke lokasi kamar. Topcer …",3 days,Bobocabin Bunaken Hills Manado
lebre juliette,5.0,"Pengalaman menginap yang luar biasa di bobocabin. Anda memiliki pemandangan kota terbaik dan stafnya sangat ramah, membantu dan baik. Itu sempurna ! Mungkin ada restoran yang hilang tetapi Manado berjarak 15/20 menit.",3 days,Bobocabin Bunaken Hills Manado
Alfred Andrews,4.0,"Properti yang fantastis dan makanan serta staf yang luar biasa. April, Wliza, Timothy, Angel, Putri, Mark, Risky dan Dian sangat membantu. Saya menyarankan orang untuk memeriksanya.",3 days,Bobocabin Bunaken Hills Manado
Olive Mamonto,5.0,,a week,Bobocabin Bunaken Hills Manado
Presdy Sagay,5.0,Tempatnya bagus,a week,Bobocabin Bunaken Hills Manado
Astrid A Mandagi,5.0,,a week,Bobocabin Bunaken Hills Manado
Misraim Lette,5.0,,a week,Bobocabin Bunaken Hills Manado
Jessica Tarima,5.0,Cabin yang nyaman dengan pemandangan yang indah,a week,Bobocabin Bunaken Hills Manado
Raymond Undap,5.0,"Tempat healing terbaik di Manado so far!
Jika ingin tempat yang tenang dan secluded Bobocabin Bunaken Hills adalah tempatnya. …",3 weeks,Bobocabin Bunaken Hills Manado
Edo Pattiradjawane,5.0,"Pemandangan indah, kamar nyaman",4 weeks,Bobocabin Bunaken Hills Manado
Rifdha Mongay,5.0,"Kamar sangat nyaman, layanan sangat ramah, lokasi sangat asri🥰 …",a month,Bobocabin Bunaken Hills Manado
Oktania Sari,5.0,Pelayanan sebanyak bintang di langit+++,a month,Bobocabin Bunaken Hills Manado
Ichal Makalalag,5.0,,a month,Bobocabin Bunaken Hills Manado
Meryon Pongoh,5.0,"Pemandangan yg bagus sx siang/malam,,kebersihannya ok,,fasilitas kamar ok…
yg terpenting pelayanan staffnya sangat ramah dan siap 24 jam…",a month,Bobocabin Bunaken Hills Manado
punky pertiwi,5.0,"View bagus , sunyi , enak untuk kumpul sama teman”",a month,Bobocabin Bunaken Hills Manado
Steven Carlo,5.0,"tinggal di sini pada bulan Mei. mendapat kamar 4 orang. bukitnya sangat terjal anda membutuhkan mobil bertransmisi manual atau kendaraan roda 4 untuk mendakinya. atau jika Anda memiliki AT, Anda dapat memasukkannya ke mode manual. …",a month,Bobocabin Bunaken Hills Manado
Esalindri Maengkom,5.0,"Lokasinya strategis, dekat pusat kota manado.",a month,Bobocabin Bunaken Hills Manado
Pricillia Umboh,5.0,,a month,Bobocabin Bunaken Hills Manado
Muh Arif Bagus Panuntun,5.0,,a month,Bobocabin Bunaken Hills Manado
fiina mabruroh,5.0,"Terima kasih bobocabin Manado, pengalaman terbaik untuk pertama kali saya menginap di bobocabin. Tempatnya nyaman, pemandangannya bagus banget, fasilitas lengkap. Host services nya ramah dan satset. Cuma sarapannya yg kurang bervariasi dan …",a month,Bobocabin Bunaken Hills Manado
Ningsih Megasyari,5.0,,a month,Bobocabin Bunaken Hills Manado
Harto Necsen Linelejan-MD,5.0,"Merupakan tempat baru di Manado, dengan waktu tempuh lebih kurang 15 menit dari pusat kota. Lokasinya berada di puncak bukit, sehingga dapat terlihat pemandangan kota Manado dan pemandangan laut yang indah. Kota Manado terlihat begitu indah …",2 months,Bobocabin Bunaken Hills Manado
Bangkit Agung Setiawan,5.0,Cocok untuk teman-teman yang ingin jauh dari suasana keramaian. Terbaik untuk healing.,2 months,Bobocabin Bunaken Hills Manado
RAYMOND SUAK,5.0,"Bagus sekali tempatnya, ingin balik lagi",2 months,Bobocabin Bunaken Hills Manado
Ade Sondakh,4.0,,2 months,Bobocabin Bunaken Hills Manado
Anna Taengetan,5.0,"Senang dengan pelayanan staffnya sangat ramah, sangat membantu, klo perlu apa” tinggal chat ke staff nya pasti di bantu, tempatnya sangat bersih,sangat nyaman seru dan tidak ribet, …",2 months,Bobocabin Bunaken Hills Manado
Magrama Knot Craft,5.0,,2 months,Bobocabin Bunaken Hills Manado
Trevi Nusu,5.0,,2 months,Bobocabin Bunaken Hills Manado
Made Apriano,5.0,"Saya antar pesanan disini, tempatnya bagus cuma saja jalan sementara perbaikan dan menanjak",2 months,Bobocabin Bunaken Hills Manado
Rendy Umboh,5.0,,2 months,Bobocabin Bunaken Hills Manado
Yudhy Chris Rivaldy Baureh,5.0,"Halo, saya berencana datang menggunakan motor, apakah parkir tersedia? boleh minta nomor kontak Bobocabin Manado?",2 months,Bobocabin Bunaken Hills Manado
ANDREW,5.0,"Positif:
Lokasi strategis. Masih di dalam wilayah Kota Manado, dekat dengan pusat kuliner dan perbelanjaan. …",2 months,Bobocabin Bunaken Hills Manado
dewi avril,5.0,,2 months,Bobocabin Bunaken Hills Manado
Jenifer Pritini,5.0,"Tempatnya bagus, service jgaa bguss
Krgnya di kmrnya cmn ada mnumn teh ngak ada kopi, breakfastnya blm lngkap (blm ada buah, dessert), but baguss sihh",3 months,Bobocabin Bunaken Hills Manado
Andri Manado,4.0,,3 months,Bobocabin Bunaken Hills Manado
Nazwa Nabil Channel,5.0,"Cantik sekali pemandangannya, bikin lupa segalanya gak mau kemana2 lagi, staffnya ramah-ramah",3 months,Bobocabin Bunaken Hills Manado
Sisi Susanti tiiyo,4.0,"Viewnya bagus, dan alamnya masih asri.",3 months,Bobocabin Bunaken Hills Manado
hanif mubarak,5.0,"Tempatnya sunyi, pemandangannya indah, tempatnya juga bersih dan nyaman, cocok buat yg mau healing",3 months,Bobocabin Bunaken Hills Manado
Feybe Rawung,5.0,,3 months,Bobocabin Bunaken Hills Manado
Farida Indriani,5.0,"Suasana nyaman, teduh, tenang, romantis. Akses ke lokasi terjangkau dengan kendaraan pribadi, walaupun agak menantang. Mereka menyediakan mobil antar-jemput dari pintu masuk menuju resepsionis dan sebaliknya. Disediakan akses WiFi yang lancar. Sangat cocok untuk staycation.",3 months,Bobocabin Bunaken Hills Manado
Stanley Rondonuwu,4.0,,3 months,Bobocabin Bunaken Hills Manado
Kathleen Meilorry,5.0,,3 months,Bobocabin Bunaken Hills Manado
"Halid, Eliana Gloria",5.0,"✅Pastikan kamu punya banyak waktu, tenaga dan hati-hati karena aku jamin kamu akan merasakan CINTA PADA PANDANGAN PERTAMA✅ …",3 months,Bobocabin Bunaken Hills Manado
Richards Siagian,5.0,,3 months,Bobocabin Bunaken Hills Manado
Augustievo Parengkuan,5.0,,4 months,Bobocabin Bunaken Hills Manado
Deyvana Malalangi,5.0,Rekomendasi,4 months,Bobocabin Bunaken Hills Manado
Stenny Cocochen,5.0,,4 months,Bobocabin Bunaken Hills Manado
Sherry J,5.0,"Staffnya friendly dan helpful, suasananya oke dan pemandangan bagus. Pas datang kesini menu makanan masih terbatas dan ada periode jam pemesanan, kecuali makanan instan.",4 months,Bobocabin Bunaken Hills Manado
anastasya delssia,5.0,,4 months,Bobocabin Bunaken Hills Manado
Christian David,5.0,"Tempat sensasi baru
Daerah yang cukup terpencil
Pelayanan prima …",4 months,Bobocabin Bunaken Hills Manado
Len Penaumang,5.0,,4 months,Bobocabin Bunaken Hills Manado
KozeK ID,5.0,,4 months,Bobocabin Bunaken Hills Manado
Diktirada Gsy,5.0,,5 months,Bobocabin Bunaken Hills Manado
Christine Tiwang,5.0,Keren for ba tenang❤️,5 months,Bobocabin Bunaken Hills Manado
April R,5.0,pemandangan dari Bukit Bobocabin Bunaken benar-benar menakjubkan sehingga kalian harus melihatnya sendiri 👌👌 …,5 months,Bobocabin Bunaken Hills Manado
June love chlif Juniar,4.0,,5 months,Bobocabin Bunaken Hills Manado
Paula Friendsi,5.0,,5 months,Bobocabin Bunaken Hills Manado
Candy Anggreani,5.0,,5 months,Bobocabin Bunaken Hills Manado
try hardiyanto,5.0,,5 months,Bobocabin Bunaken Hills Manado
Robert S,5.0,"Baru di kota, pengalaman glamping di kabin pabrikan, pemandangan kota dan laut yang luar biasa, baru saja dibuka",5 months,Bobocabin Bunaken Hills Manado
PM,5.0,"Pasti sebuah permata di Sulawesi Utara!

Kesan pertama luar biasa! Kami disambut di area parkir dan…",5 months,Bobocabin Bunaken Hills Manado
