name,star,time,Place Id,review_id,reviews
Satria Sihombing,5.0,2024-07-11 23:00:00,14,0,view nya menyala 🤩🔥🔥
silas nainggolan,5.0,2024-07-11 23:00:00,14,1,"penginapan yang paling menyatu dengan alam. cabin nya canggih, pakai teknologi terkini. pilihan menu makanan juga banyak. pokoknya the best lah bobocabin baturraden 🤗 thanks for new experience 😉🙏"
Ari Setiawan,5.0,2024-07-11 22:00:00,14,2,"bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah"
mutiara saragih,5.0,2024-07-11 22:00:00,14,3,good
hendro sebayang,5.0,2024-07-11 22:00:00,14,4,so an exciting stay experience
Togap simanungkalit,5.0,2024-07-11 22:00:00,14,5,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran."
Tusinah dirsan,5.0,2024-07-11 00:00:00,14,6,enak buat acara keluarga
Tika Asgusta,5.0,2024-07-09 00:00:00,14,7,"kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali enggak lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya"
Lutfi Dinayanti,5.0,2024-07-07 00:00:00,14,8,"forest is for rest. kesini di akhir juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. curugnya juga dekat, jalannya agak curam tapi oke saja. bisa bbq juga karena ada pilihan paket mealnya.  karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat meminta keset  tambahan.  hitech, peaceful, sekitarannya juga dekat sama tempat wisata lain. dan kemarin banyak banget dibantu sama staffnya mas oki kalo enggak salah namanya, thankyou!  great experience!"
Safril Wijanarko,5.0,2024-07-06 00:00:00,14,9,tempat yang sangat sejuk dibawah kaki gunung selamat dan menyajikan alam yang indah👍 bagi yang ingin honeymoon cocok sekali👌
Rendi Mardianto,5.0,2024-07-06 00:00:00,14,10,"staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. ada curug yang sangat beautyfull pokoknya mantap sekali"
Yellow Peony,5.0,2024-07-06 00:00:00,14,11,"staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya juga enak,,kalo malam laper juga bisa pesan makanan,pas coba menunya enaak👌recomended next bakalan kesini lagi sih..😁"
sarah hanifah,5.0,2024-07-06 00:00:00,14,12,enggak menyesal deh kesini rekomended banget buat liburan apalagi staff nya juga ramah ramah
Vebs Jack,5.0,2024-07-06 00:00:00,14,13,"tempat adem, nyaman, resepsionisnya ramah-ramah"
desi ratnasari,5.0,2024-07-06 00:00:00,14,14,bagus tempatnya nyaman dan cocok untuk staycation
Nia Margiasih,5.0,2024-07-06 00:00:00,14,15,bagus
banana nanae,5.0,2024-07-06 00:00:00,14,16,"bagus, lokasi mudah tempat nyaman udara sangat sejuk"
Fiorentina Devina,5.0,2024-07-06 00:00:00,14,17,enak buat nginep bareng teman dan keluarga.
Suparman S,5.0,2024-07-06 00:00:00,14,18,"lokasi di dalam hutan,cabinya cocok yang mau liburan"
Arya Fadila,5.0,2024-07-05 00:00:00,14,19,bagus banget
Oki seti Setia sejati,5.0,2024-07-05 00:00:00,14,20,asri
Oki Seti Setia Sejati,5.0,2024-07-05 00:00:00,14,21,bagus dan bersih
eka santoso,5.0,2024-07-05 00:00:00,14,22,good
deva maulana,5.0,2024-07-05 00:00:00,14,23,good
Cepat Lakuuu,5.0,2024-07-05 00:00:00,14,24,good
Wiby Abhista,5.0,2024-07-05 00:00:00,14,25,good
Annalia Ernawati,5.0,2024-07-05 00:00:00,14,26,good
michael eric,5.0,2024-07-05 00:00:00,14,27,pengalaman yang luar biasa✌️
Rima Krismeilita22,5.0,2024-07-05 00:00:00,14,28,semuanya indah
Nisa Aulia,5.0,2024-07-05 00:00:00,14,29,mantap pelayanan dan cabinnya
Shinta Maharani,5.0,2024-07-05 00:00:00,14,30,bagus dan nyaman untuk perjalanan healing bersama pasangan🫰
