name,star,time,Place Id,review_id,reviews,final_text
Satria Sihombing,5.0,2024-07-11 23:00:00,14,0,view nya menyala 🤩🔥🔥,the view is on
silas nainggolan,5.0,2024-07-11 23:00:00,14,1,"penginapan yang paling menyatu dengan alam. cabin nya canggih, pakai teknologi terkini. pilihan menu makanan juga banyak. pokoknya the best lah bobocabin baturraden 🤗 thanks for new experience 😉🙏",accommodation that is most united with nature the cabin is sophisticated using the latest technology there are also many food menu option basically the best is bobocabin baturaden thanks for new experience
Ari Setiawan,5.0,2024-07-11 22:00:00,14,2,"bagus, hotel bernuasna baru yang berteknologi tinggi, dengan pelayanan yang sangat ramah",nice new hightech hotel with very friendly service
mutiara saragih,5.0,2024-07-11 22:00:00,14,3,good,good
hendro sebayang,5.0,2024-07-11 22:00:00,14,4,so an exciting stay experience,so an exciting stay experience
Togap simanungkalit,5.0,2024-07-11 22:00:00,14,5,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran.",very comfortable sophisticated natural view clean everything is technological from opening the door to payment
Tusinah dirsan,5.0,2024-07-11 00:00:00,14,6,enak buat acara keluarga,good for family event
Tika Asgusta,5.0,2024-07-09 00:00:00,14,7,"kamar dan fasilitas bagus, tenang jauh dari keramaian. curug indah sekali enggak lupa sarapannya enak banget, makan malam dari warlok damaran juga recommended enak semua wajib coba, bisa pesan langsung ke staff untuk order makanannya",good room and facility quiet away from the crowd the waterfall is very beautiful dont forget the breakfast is really delicious dinner from warlok damaran is also recommended all delicious must try you can order directly to the staff to order the food
Lutfi Dinayanti,5.0,2024-07-07 00:00:00,14,8,"forest is for rest. kesini di akhir juni 2024, staffnya super helpful, ramah 👍🏻👍🏻👍🏻 lokasinya mudah dijangkau (naik kereta, lanjut taksi online), vibesnya tenang dan nyaman, walau kemarin hujan tapi alhamdulillah pas pagi lumayan cerah jadi bisa ke curug. curugnya juga dekat, jalannya agak curam tapi oke saja. bisa bbq juga karena ada pilihan paket mealnya.  karena hujan juga mungkin jadi di pintu toilet kemarin ada pacet 1 ekor😂😂  dan pas habis mandi lumayan airnya agak becek, mungkin ini bisa ditingkatin lagi drainasenya (?) cuma minor sih, dan helpful banget staffnya saat meminta keset  tambahan.  hitech, peaceful, sekitarannya juga dekat sama tempat wisata lain. dan kemarin banyak banget dibantu sama staffnya mas oki kalo enggak salah namanya, thankyou!  great experience!",forest is for rest came here at the end of june 2024 the staff were super helpful friendly the location is easy to reach take the train then continue with an online taxi the vibe are calm and comfortable even though it rained yesterday but thank god it wa quite bright in the morning so i could go to the waterfall the waterfall is also close the road is a bit steep but okay can also have a barbecue because there is a choice of meal package because it wa raining maybe there wa 1 leech at the toilet door yesterday and when i finished taking a shower the water wa quite muddy maybe the drainage can be improved it just minor and the staff are very helpful when asking for additional mat hitech peaceful the area is also close to other tourist attraction and yesterday the staff helped me a lot if im not mistaken thank you great experience
Safril Wijanarko,5.0,2024-07-06 00:00:00,14,9,tempat yang sangat sejuk dibawah kaki gunung selamat dan menyajikan alam yang indah👍 bagi yang ingin honeymoon cocok sekali👌,a very cool place under the foot of the mountain safe and present beautiful nature for those who want to honeymoon very suitable
Rendi Mardianto,5.0,2024-07-06 00:00:00,14,10,"staff ramah helpfull, suasana enak buat istirahat jauh dari kebisingan. ada curug yang sangat beautyfull pokoknya mantap sekali",friendly helpful staff nice atmosphere for resting away from noise there is a waterfall that is very beautiful it really great
Yellow Peony,5.0,2024-07-06 00:00:00,14,11,"staycation disini bikin betah sih, roomnya, fasilitasnya,pemandangannya,nyaman semua,sarapannya juga enak,,kalo malam laper juga bisa pesan makanan,pas coba menunya enaak👌recomended next bakalan kesini lagi sih..😁",staycation here make you feel at home the room the facility the view everything is comfortable the breakfast is also delicious if you are hungry at night you can also order food just try the delicious menu recommended i will come here again
sarah hanifah,5.0,2024-07-06 00:00:00,14,12,enggak menyesal deh kesini rekomended banget buat liburan apalagi staff nya juga ramah ramah,i dont regret coming here it highly recommended for a vacation especially since the staff is also friendly
Vebs Jack,5.0,2024-07-06 00:00:00,14,13,"tempat adem, nyaman, resepsionisnya ramah-ramah",cool comfortable place friendly receptionist
desi ratnasari,5.0,2024-07-06 00:00:00,14,14,bagus tempatnya nyaman dan cocok untuk staycation,nice place comfortable and suitable for staycation
Nia Margiasih,5.0,2024-07-06 00:00:00,14,15,bagus,good
banana nanae,5.0,2024-07-06 00:00:00,14,16,"bagus, lokasi mudah tempat nyaman udara sangat sejuk",good easy location comfortable place very cool air
Fiorentina Devina,5.0,2024-07-06 00:00:00,14,17,enak buat nginep bareng teman dan keluarga.,great for staying with friend and family
Suparman S,5.0,2024-07-06 00:00:00,14,18,"lokasi di dalam hutan,cabinya cocok yang mau liburan",location in the forest the cabin is suitable for those who want to go on holiday
Arya Fadila,5.0,2024-07-05 00:00:00,14,19,bagus banget,really good
Oki seti Setia sejati,5.0,2024-07-05 00:00:00,14,20,asri,beautiful
Oki Seti Setia Sejati,5.0,2024-07-05 00:00:00,14,21,bagus dan bersih,nice and clean
eka santoso,5.0,2024-07-05 00:00:00,14,22,good,good
deva maulana,5.0,2024-07-05 00:00:00,14,23,good,good
Cepat Lakuuu,5.0,2024-07-05 00:00:00,14,24,good,good
Wiby Abhista,5.0,2024-07-05 00:00:00,14,25,good,good
Annalia Ernawati,5.0,2024-07-05 00:00:00,14,26,good,good
michael eric,5.0,2024-07-05 00:00:00,14,27,pengalaman yang luar biasa✌️,amazing experience
Rima Krismeilita22,5.0,2024-07-05 00:00:00,14,28,semuanya indah,everything is beautiful
Nisa Aulia,5.0,2024-07-05 00:00:00,14,29,mantap pelayanan dan cabinnya,great service and cabin
Shinta Maharani,5.0,2024-07-05 00:00:00,14,30,bagus dan nyaman untuk perjalanan healing bersama pasangan🫰,nice and comfortable for a healing trip with your partner
Slamet Nugroho,5.0,2024-07-05 00:00:00,14,31,"kamarnya super nyaman, tempat sejuk cocok banget buat yang pengin liburan sama keluarga,teman, apa sama pasangan, dan tempatnya berada di area kebun raya baturraden dekat dengan wisata seperti pancuran 7 dan di didalem area bobocabin ada curug yang bagus banget tempatnya enak banget buat nongkrong. terus pas malam kita bisa pesan bbq an jadi buat yang mau nginep enggak usah khawatir karena banyak pilihan menu bbq nya😍",the room is super comfortable the cool place is perfect for those who want to vacation with family friend what with couple and the place is in the baturaden botanical garden area close to attraction such a shower 7 and in the bottom of the bobocabin area there is a very nice waterfall a very nice place to hang out later in the evening we can order a bbq so those who want to stay dont worry because there are many option on the bbq menu
Fikri Ardian,5.0,2024-07-05 00:00:00,14,32,"i had a very satisfying stay at this cabin. the facilities provided are excellent and cater to all my needs. the service from the hotel staff is very friendly and professional; they are always ready to assist quickly and efficiently. additionally, the cleanliness of the hotel is impeccable, from the rooms to the common areas. i highly recommend this hotel to anyone looking for a comfortable and high-quality place to stay",i had a very satisfying stay at this cabin the facility provided are excellent and cater to all my need the service from the hotel staff is very friendly and professional they are always ready to assist quickly and efficiently additionally the cleanliness of the hotel is impeccable from the room to the common area i highly recommend this hotel to anyone looking for a comfortable and highquality place to stay
vira fitri zulaikha,5.0,2024-07-05 00:00:00,14,33,"mantap banget sih view nya udaranya , sudah kayak dapat oksigen gratis",the view and air are really great it like getting free oxygen
Ricky Zulfandi,5.0,2024-07-05 00:00:00,14,34,"took me around 8 hours drive from jakarta. at first, i thought its just a glamping but i was stunned when i found it was a high tech modern cabin ini the center of forest of high trees with so much tranquility and comfort.  they have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spots ini the same area.",took me around 8 hour drive from jakarta at first i thought it just a glamping but i wa stunned when i found it wa a high tech modern cabin ini the center of forest of high tree with so much tranquility and comfort they have their own waterfall inside the area and we can also enjoy the botanical garden and interesting spot ini the same area
Erwan Erwan,4.0,2024-06-28 00:00:00,14,35,"room nya cukup baik, kalau bawa anak sih kurang cocok karena roomnya kecil banget dan tidak ada fasilitas tv, kawat nyamuk jendela ada yang sudak rusak, posisi ac tidak nyaman karena langsung kena tempat tidur",the room is quite good but if you bring child it not suitable because the room is very small and there are no tv facility some of the mosquito net on the window are broken the position of the ac is uncomfortable because it directly hit the bed
Niki Ardhian,3.0,2024-06-28 00:00:00,14,36,"tidak bisa pilih room, tidak ada air isi ulang best cabin no 11 dan 34",cant choose room no refill water best cabin no 11 and 34
MUHAMMAD HAIKAL,5.0,2024-06-21 00:00:00,14,37,"sangat nyaman, canggih, pemandangan alam, bersih, semua serba teknologi, dari buka pintu hingga pembayaran. jadi bagi yang mau berkunjung pastikan sudah download bobobox dan saldo sudah tercukupi.",very comfortable sophisticated natural view clean everything is technological from opening the door to payment so for those who want to visit make sure you have downloaded bobobox and have sufficient balance
